#connections;read;write;get_domain_path
0;46675.400000;69832.200000;38763.100000
1;47050.200000;63587.800000;40019.700000
2;49799.000000;67733.300000;41700.800000
4;46240.200000;65002.000000;40318.900000
8;57044.400000;71824.900000;47955.300000
16;62385.600000;73783.800000;56472.900000
32;73538.400000;89223.100000;63879.400000
64;94499.300000;98932.000000;86789.600000
128;127003.600000;140922.500000;120831.000000
256;214476.200000;228035.900000;205946.600000
512;378793.000000;398978.200000;369307.900000
