#connections;read;write;get_domain_path
0;434869.200000;453650.100000;102415.600000
1;440466.700000;455514.700000;104651.900000
2;449120.900000;461166.600000;102396.900000
4;432332.600000;455201.200000;111271.800000
8;436438.200000;434917.200000;102731.600000
16;443843.600000;455528.400000;105612.100000
32;432689.400000;464022.800000;105199.200000
64;436357.500000;464362.400000;108932.800000
128;463004.400000;476219.300000;113707.600000
256;486490.200000;474329.400000;127046.400000
512;509887.800000;503429.900000;154999.800000
